Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière de la consommation totale (W);Puissance moyenne journalière de la consommation totale HTA (W);Puissance moyenne journalière de la consommation télérelevée HTA (W);Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la consommation profilée HTA (W);Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la production totale (W);Puissance moyenne journalière de la production télérelevée totale (W);Puissance moyenne journalière de la production profilée totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production cogénération totale (W);Puissance moyenne journalière de la production autres totale (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production cogénération profilée (W);Puissance moyenne journalière de la production hydraulique profilée (W);Puissance moyenne journalière de la production autres profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Pseudo rayonnement
2021-01-05;1;60661057104.0;495619521.0;569071456.0;4857622489.0;59883450352.0;14541010059.0;14160091874.0;2864466281;1099109;150503619;380918185.0;4177496232.0;6857436063.0;31291438990.0;5144706714.0;5074080968.0;70625746.0;255325076.0;1648358054.0;1788554874.0;1452468710.0;62410459.0;259242.0;5830764.0;2125280.0;2.3;4.8;20
2021-01-18;1;54740588479.0;1341988688.0;521871772.0;4469477811.0;55774441609.0;14029732784.0;13657927012.0;2725891097;1023612;137603807;371805772.0;3911531650.0;6210887130.0;28757771528.0;7367191401.0;7122015332.0;245176069.0;888542930.0;3187930862.0;1761377448.0;1529340161.0;231956636.0;299925.0;5782408.0;7137100.0;4.4;5.1;60
2021-01-20;1;49133982417.0;6494215792.0;416424624.0;4666520842.0;52490829635.0;14257749417.0;13904893854.0;2525506004;888460;128355502;352855563.0;3667405568.0;5868292068.0;26042632617.0;14934008477.0;14787158996.0;146849481.0;395982914.0;11110302292.0;1735929909.0;1691793362.0;136690842.0;265574.0;5776606.0;4116459.0;6.6;5.2;20
2021-02-02;2;42832980646.0;4580071854.0;346776957.0;3745142685.0;45993261780.0;13891973209.0;13570801207.0;2355335081;937190;101899916;321172002.0;3358139046.0;5329365875.0;20955611462.0;11832272630.0;11661711833.0;170560797.0;587738938.0;7983990181.0;1698689344.0;1561854167.0;162182197.0;267974.0;5881998.0;2228628.0;10.1;5.8;33
2021-02-09;2;56323757708.0;1175322833.0;524190412.0;4595152608.0;57025267163.0;14658431976.0;14292939291.0;2750419082;1137543;151878364;365492685.0;3965540238.0;6406102086.0;29091757874.0;6996175309.0;6870888208.0;125287101.0;471738481.0;3194984722.0;1771232528.0;1558219578.0;116427639.0;225868.0;6050644.0;2582950.0;4.3;6.2;16
2021-02-15;2;52390555042.0;3682826146.0;465404106.0;4692981064.0;55494725543.0;13844328638.0;13481943445.0;2648121611;1103601;151058715;362385193.0;3846738882.0;6110696308.0;28892677788.0;11945381819.0;11637822129.0;307559689.0;1032034763.0;7540622080.0;1710497701.0;1662227274.0;298949703.0;231414.0;6120863.0;2257710.0;3.7;6.5;38
2021-02-16;2;48214784708.0;3758867146.0;406356553.0;4228148891.0;51417962182.0;14125993863.0;13775876867.0;2484180296;1012351;130366396;350116996.0;3695436308.0;5836863556.0;25144109412.0;11596550064.0;11313201422.0;283348642.0;803386470.0;7418549986.0;1706555260.0;1668058348.0;274716682.0;230194.0;6120886.0;2280879.0;6.0;6.6;40
2021-03-06;3;40843460500.0;2355787792.0;357683670.0;3555130033.0;43553198511.0;10058591326.0;9796163946.0;1917573195;779982;128494679;262427380.0;2847399720.0;4794794991.0;23805564617.0;8978339506.0;8494804186.0;483535320.0;1326927186.0;4410697573.0;1622044057.0;1618670690.0;475654449.0;255828.0;5372743.0;2252299.0;7.5;7.8;72
2021-03-09;3;47077736542.0;903145563.0;429719885.0;3630992515.0;48479086378.0;13932466725.0;13601135899.0;2433111423;923440;121737179;331330826.0;3502599296.0;5387743692.0;23100504623.0;6365207800.0;5826495382.0;538712418.0;1721999668.0;1580910149.0;1624963841.0;1437334142.0;530776472.0;252128.0;5438844.0;2244975.0;6.6;8.1;79
2021-03-20;3;42180962813.0;2043607000.0;390016730.0;3684369385.0;44990765623.0;10163674806.0;9896315602.0;1987357586;787113;136969855;267359204.0;2931754681.0;4906929786.0;24863291796.0;8927795926.0;8272882803.0;654913123.0;2117992744.0;3724112097.0;1594745585.0;1490945500.0;646989637.0;279124.0;5438448.0;2205914.0;6.3;9.0;87
